,ID,Country,Affiliation or university,Academic discipline,Career stage / position,How did you find out about this workshop?,Attendance/participation type,Stream only or also exercise group? Video or in-person?,Which days you plan to attend?,Registration date,Registration state
81,20,Sweden,Karolinska Institutet,Health Sciences,Graduate student,CodeRefinery.org,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-04 09:16:34.945365+00:00,Completed
82,160,Finland,Aalto University,"Electrical Engineering, Electronic Engineering, Information Engineering",Graduate student,Educational institute,Learner,I would like to watch and exercise with others in-person,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-12 12:11:14.561176+00:00,Completed
83,228,Finland,Suomen Ympäristökeskus,Earth and Related Environmental Sciences,Researcher,Friend / Colleague,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Not sure I can attend, but please keep me informed",2022-09-19 10:44:26.762440+00:00,Completed
84,152,Finland,Aalto University,Other Natural Sciences,Graduate student,Friend / Colleague; Another event,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Thu, Sep 29 (Day 6)",2022-09-12 08:18:10.178407+00:00,Completed
85,169,Finland,Aalto University,,,,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-13 08:51:44.812584+00:00,Completed
86,81,Finland,University of Oulu,Computer and Information Sciences,Graduate student,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed",2022-08-25 08:58:11.291074+00:00,Completed
87,24,Norway,University of Oslo,,,,Exercise leader,I am an organizer or instructor or observer,"Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-04 10:09:15.824545+00:00,Withdrawn
88,71,Sweden,SU,Biological Sciences,Research software engineer,National HPC center,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-18 11:37:23.325513+00:00,Completed
89,231,Finland,Aalto University,Mechanical Engineering,Postdoc,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-19 15:11:04.717763+00:00,Completed
90,237,Finland,Aalto University School of Science,Physical Sciences,Professor,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed",2022-09-20 07:18:14.704584+00:00,Completed
91,205,United States,Duke,Biological Sciences,Researcher,Twitter,Learner,Only watching the stream,"Not sure I can attend, but please keep me informed",2022-09-17 11:23:24.892375+00:00,Completed
92,251,Sweden,Uppsala University,Computer and Information Sciences,Researcher,National HPC center,Learner,I would like to get more information and decide later,"Not sure I can attend, but please keep me informed",2022-09-26 09:03:05.046661+00:00,Completed
93,86,Norway,NTNU,Mechanical Engineering,Postdoc,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-26 12:06:12.595458+00:00,Completed
94,187,Norway,University of Oslo,Mathematics,Postdoc,CodeRefinery.org,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-15 08:54:56.692764+00:00,Completed
95,183,Finland,Helkama Bica,Environmental Biotechnology,Industry,Twitter; Another event,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-14 13:08:10.497130+00:00,Completed
96,129,Spain,IMDEA Food Institute / Universidad Autónoma de Madrid,Biological Sciences,Graduate student,Friend / Colleague,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-05 19:16:04.237455+00:00,Completed
97,226,Denmark,Aarhus university,Health Sciences,Postdoc,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3)",2022-09-19 09:24:20.425639+00:00,Completed
98,212,Norway,UiT The Arctic university,Chemical Sciences,Graduate student,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-18 17:43:27.528177+00:00,Completed
99,143,Sweden,Karolinska Institutet,Basic Medicine,Researcher,Friend / Colleague,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-09 10:28:56.623897+00:00,Completed
100,176,Finland,Aalto University,"Electrical Engineering, Electronic Engineering, Information Engineering",Graduate student,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2)",2022-09-14 07:27:50.973431+00:00,Completed
101,99,Norway,Norwegian university of science and technology,Civil Engineering,Graduate student,,Learner,Only watching the stream,"Not sure I can attend, but please keep me informed",2022-08-30 12:17:06.835363+00:00,Completed
102,51,Sweden,Uppsala University,Computer and Information Sciences,Graduate student,National HPC center,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed",2022-07-24 20:03:26.573872+00:00,Completed
103,157,Sweden,SMHI,Earth and Related Environmental Sciences,Research software engineer,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-12 10:47:05.647212+00:00,Completed
104,131,Spain,Hospital Universitario de La Princesa - Universidad Autónoma de Madrid (HUP-UAM),Biological Sciences,Researcher,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-06 13:52:39.092218+00:00,Completed
105,218,Sweden,Västra Götalands Regionen,,,,Learner,I would like to watch and exercise with others in-person,"Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed",2022-09-19 07:04:27.758701+00:00,Completed
106,179,Sweden,Lund University,Chemical Sciences,Graduate student,National HPC center,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-14 10:52:24.007137+00:00,Completed
107,182,Finland,Aalto University,Physical Sciences,Researcher,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-14 11:52:13.369192+00:00,Completed
108,170,Sweden,SMHI,Earth and Related Environmental Sciences,Researcher,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed",2022-09-13 08:53:02.726362+00:00,Completed
109,190,Sweden,KTH Royal Institute of Technology,Biological Sciences,Graduate student,Another event,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-15 13:45:46.784180+00:00,Completed
110,240,Switzerland,epfl,,,,Learner,Only watching the stream,"Not sure I can attend, but please keep me informed",2022-09-20 10:12:45.233882+00:00,Completed
111,48,United States,University of Illinois Urbana-Champaign,Computer and Information Sciences,Research software engineer,Twitter; CodeRefinery.org; Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-12 17:11:37.582083+00:00,Completed
112,32,Finland,Aalto University,,,,Learner,Only watching the stream,"Not sure I can attend, but please keep me informed",2022-07-05 12:39:28.918539+00:00,Completed
113,74,Netherlands,TU Delft,Civil Engineering,Graduate student,Educational institute,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-19 10:49:03.060070+00:00,Completed
114,229,Denmark,Aarhus University,Chemical Sciences,Graduate student,CodeRefinery.org,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Thu, Sep 29 (Day 6)",2022-09-19 11:22:14.399129+00:00,Completed
115,163,Finland,Aalto University,Mechanical Engineering,Graduate student,Educational institute,Learner,I would like to watch and exercise with others in-person,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5)",2022-09-12 13:18:50.116385+00:00,Completed
116,90,Norway,NTNU,Civil Engineering,Graduate student,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-29 07:55:22.886684+00:00,Completed
117,23,Norway,Norges teknisk-naturvitenskapelige universitet,Civil Engineering,Professor,Friend / Colleague,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-04 09:47:14.418206+00:00,Completed
118,213,France,University Paris Saclay,Chemical Sciences,Graduate student,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-18 17:44:19.935169+00:00,Completed
119,142,Sweden,Karolinska Institutet,Biological Sciences,Postdoc,Friend / Colleague,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-09 09:44:22.671648+00:00,Completed
120,108,Norway,NTNU university,Environmental Engineering,Researcher,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-01 07:37:55.019822+00:00,Completed
121,243,Finland,Aalto,Computer and Information Sciences,Researcher,Friend / Colleague,Learner,I would like to watch and exercise with others in-person,"Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-21 05:14:02.966202+00:00,Completed
122,177,Finland,aalto,Materials Engineering,Researcher,Friend / Colleague,Learner,I would like to watch and exercise with others in-person,"Not sure I can attend, but please keep me informed",2022-09-14 09:33:16.590706+00:00,Completed
123,31,Switzerland,University of Geneva,Earth and Related Environmental Sciences,Graduate student,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-05 12:33:06.011290+00:00,Completed
124,63,Finland,Aalto University,Physical Sciences,Graduate student,Friend / Colleague,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-15 07:26:26.364060+00:00,Completed
125,158,Sweden,SMHI,Computer and Information Sciences,Industry,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-12 10:48:36.413667+00:00,Completed
126,30,Sweden,University of Helsinki,Biological Sciences,Postdoc,CodeRefinery.org,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-05 07:38:43.557140+00:00,Completed
127,241,Finland,Aalto-yliopisto,"Electrical Engineering, Electronic Engineering, Information Engineering",Graduate student,Friend / Colleague,Learner,Only watching the stream,"Not sure I can attend, but please keep me informed",2022-09-20 11:06:32.806175+00:00,Completed
128,166,Finland,University of Eastern Finland,Biological Sciences,Other,Educational institute,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4)",2022-09-13 06:26:49.509321+00:00,Completed
129,239,Sweden,Karolinska Institute,Biological Sciences,Graduate student,Friend / Colleague,Learner,I would like to watch and exercise with others in-person,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-20 07:37:04.672423+00:00,Completed
130,197,Norway,Norwegian Metrology Service - Justervesenet,Physical Sciences,Researcher,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-16 09:55:02.937777+00:00,Completed
131,248,Spain,Universidad de La Laguna,Physical Sciences,Graduate student,CodeRefinery.org,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-24 12:31:35.791593+00:00,Completed
132,195,Norway,NERSC,Physical Sciences,Researcher,Educational institute,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-16 07:57:48.162461+00:00,Completed
133,98,Norway,NTNU,Computer and Information Sciences,Professor,Another event,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3)",2022-08-30 10:58:26.998480+00:00,Completed
134,21,Spain,Universidad de Valencia,Chemical Sciences,Graduate student,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-04 09:20:26.739430+00:00,Completed
135,103,United Kingdom,SSEN,"Electrical Engineering, Electronic Engineering, Information Engineering",Researcher,National HPC center,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-30 16:26:43.446517+00:00,Completed
136,73,Germany,Philipps-University Marburg,Biological Sciences,Postdoc,CodeRefinery.org,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-19 10:25:46.273690+00:00,Completed
137,115,Finland,Aalto University,Computer and Information Sciences,Research software engineer,Another event,Instructor,I am an organizer or instructor or observer,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-02 08:06:26.909460+00:00,Completed
138,222,Finland,Aalto University,Physical Sciences,Graduate student,Educational institute,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed",2022-09-19 08:00:03.170030+00:00,Completed
139,128,Sweden,Uppsala University,Political Science,Research software engineer,National HPC center,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Thu, Sep 29 (Day 6)",2022-09-05 14:34:32.266161+00:00,Completed
140,202,Thailand,Chiang Mai University,Mathematics,Researcher,Twitter,Learner,Only watching the stream,"Not sure I can attend, but please keep me informed",2022-09-17 04:38:54.618574+00:00,Completed
141,139,Finland,CSC.FI,Computer and Information Sciences,Other,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-07 15:28:49.779786+00:00,Completed
142,191,Finland,Aalto,Medical Engineering,Industry,CodeRefinery.org; Educational institute,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-15 14:00:59.506820+00:00,Completed
143,27,Norway,University of Bergen,Earth and Related Environmental Sciences,Research software engineer,CodeRefinery.org,Expert helper,Watching stream and participate in online exercise group (Code Refinery Zoom),"Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-04 11:14:18.172318+00:00,Completed
144,88,Norway,NTNU,Other Engineering and Technologies,Graduate student,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-26 14:40:10.625286+00:00,Completed
145,113,Finland,Aalto University,Other,Research software engineer,,Instructor,I am an organizer or instructor or observer,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-02 07:56:28.390585+00:00,Completed
146,247,Finland,Aalto University,"Electrical Engineering, Electronic Engineering, Information Engineering",Researcher,Another event,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-21 13:52:22.826431+00:00,Completed
147,97,Norway,Norwegian University of Science and Technology (NTNU),"Electrical Engineering, Electronic Engineering, Information Engineering",Postdoc,Educational institute,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-30 08:35:46.405023+00:00,Completed
148,223,Norway,University of Bergen,Earth and Related Environmental Sciences,Postdoc,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-19 08:04:28.739564+00:00,Completed
149,172,Finland,Aalto University,,,Friend / Colleague,Learner,Only watching the stream,"Not sure I can attend, but please keep me informed",2022-09-13 10:53:58.799112+00:00,Completed
150,26,Norway,NTNU,Civil Engineering,Postdoc,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-04 11:10:55.864496+00:00,Completed
151,220,Sweden,Sahlgrenska University Hospital,Physical Sciences,Industry,Friend / Colleague,Learner,I would like to watch and exercise with others in-person,"Wed, Sep 21 (Day 2); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-19 07:12:17.913905+00:00,Completed
152,89,Sweden,Technical University of Chalmers,Mechanical Engineering,Postdoc,Educational institute,Learner,Only watching the stream,"Tue, Sep 20 (Day 1)",2022-08-28 08:56:10.569890+00:00,Completed
153,127,Finland,Aalto University,Computer and Information Sciences,Postdoc,Educational institute,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Not sure I can attend, but please keep me informed",2022-09-05 11:12:20.446738+00:00,Completed
154,140,Finland,University of Helsinki,Chemical Sciences,Researcher,National HPC center,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5)",2022-09-08 07:40:39.986970+00:00,Completed
155,69,Finland,Aalto University,Computer and Information Sciences,Research software engineer,Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-18 09:22:16.891575+00:00,Completed
156,178,Finland,Aalto University,Medical Engineering,Graduate student,Educational institute,Learner,I would like to watch and exercise with others in-person,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-14 10:24:01.225741+00:00,Completed
157,207,United Kingdom,"Goldsmiths, University of London",Psychology,Postdoc,Twitter,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Thu, Sep 29 (Day 6)",2022-09-17 12:31:24.432035+00:00,Completed
158,234,Sweden,SMHI,Earth and Related Environmental Sciences,Other,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-19 19:08:31.463700+00:00,Completed
159,192,India,Dr. A.P.J. Abdul Kalam Technical University,Computer and Information Sciences,Graduate student,Another event,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3)",2022-09-15 14:35:36.205856+00:00,Completed
160,144,Sweden,Lund University,Mechanical Engineering,Graduate student,Educational institute; Friend / Colleague,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-09 10:36:04.941448+00:00,Completed
161,149,Sweden,SMHI,Environmental Engineering,Other,Friend / Colleague,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Thu, Sep 29 (Day 6)",2022-09-12 06:40:32.314964+00:00,Completed
162,210,Spain,Instituto de Neurociencias de Alicante,,,Twitter,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Not sure I can attend, but please keep me informed",2022-09-18 00:13:02.975865+00:00,Completed
163,156,Finland,Aalto University,Economics and Business,Graduate student,Another event,Learner,I would like to get more information and decide later,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6); Not sure I can attend, but please keep me informed",2022-09-12 09:47:33.899309+00:00,Completed
164,147,Sweden,Uppsala University,Physical Sciences,,National HPC center,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-09-10 12:33:03.105577+00:00,Completed
165,83,Sweden,Uppsala University,Biological Sciences,Postdoc,,Learner,Only watching the stream,"Tue, Sep 20 (Day 1); Wed, Sep 21 (Day 2); Thu, Sep 22 (Day 3); Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-08-26 05:27:59.427073+00:00,Completed
166,25,Sweden,KTH,Civil Engineering,Industry,CodeRefinery.org,Learner,Watching stream and participate in online exercise group (Code Refinery Zoom),"Tue, Sep 27 (Day 4); Wed, Sep 28 (Day 5); Thu, Sep 29 (Day 6)",2022-07-04 10:52:49.650799+00:00,Completed
